values,ind
1475-2875,DOAJ
1465-9921,DOAJ
1472-6920,DOAJ
1759-8753,DOAJ
1364-8535,DOAJ
2045-8118,DOAJ
0044-605X,DOAJ
1471-2490,DOAJ
2042-6410,DOAJ
1471-2288,DOAJ
1880-8190,DOAJ
1477-5956,DOAJ
2050-6511,DOAJ
1471-2229,DOAJ
1478-7547,DOAJ
1866-1947,DOAJ
2193-7680,DOAJ
2059-0628,DOAJ
2049-9957,DOAJ
2047-2382,DOAJ
2054-2690,DOAJ
2197-1714,DOAJ
2056-7529,DOAJ
2191-1991,DOAJ
2047-2994,DOAJ
2045-4015,DOAJ
1226-4601,DOAJ
2055-0294,DOAJ
2054-958X,DOAJ
2052-3211,DOAJ
2055-5660,DOAJ
2194-7899,DOAJ
1473-9542,DOAJ
2321-3876,DOAJ
2052-0492,DOAJ
2051-4190,DOAJ
2162-3619,DOAJ
2050-3385,DOAJ
2055-5784,DOAJ
2055-0928,DOAJ
0778-7367,DOAJ
1674-9782,DOAJ
2051-3933,DOAJ
2050-7771,DOAJ
2047-9158,DOAJ
2050-7283,DOAJ
2055-0464,DOAJ
2049-3002,DOAJ
2049-2618,DOAJ
2397-0642,DOAJ
2052-1847,DOAJ
2662-4044,DOAJ
2051-6673,DOAJ
2365-6271,DOAJ
2731-4553,DOAJ
2055-0936,DOAJ
1916-0208,DOAJ
2662-9380,DOAJ
2524-4655,DOAJ
2056-3132,DOAJ
2326-0254,DOAJ
2468-2039,DOAJ
2050-2974,DOAJ
1833-2595,DOAJ
2524-6372,DOAJ
2057-3804,DOAJ
2048-7010,DOAJ
2210-6340,DOAJ
2730-7182,DOAJ
2200-6133,DOAJ
2524-8162,DOAJ
2662-7671,DOAJ
2524-4671,DOAJ
2731-3654,DOAJ
2191-5040,DOAJ
2046-0481,DOAJ
2054-7064,DOAJ
2524-3489,DOAJ
2520-8748,DOAJ
0018-0661,DOAJ
2397-7523,DOAJ
2662-2211,DOAJ
2055-7426,DOAJ
2332-8886,DOAJ
2524-4426,DOAJ
2661-8850,DOAJ
2056-9920,DOAJ
2523-3106,DOAJ
2661-801X,DOAJ
2047-0525,DOAJ
2056-306X,DOAJ
2520-1026,DOAJ
2522-5782,DOAJ
2057-0082,DOAJ
2396-832X,DOAJ
2366-6196,DOAJ
2058-8615,DOAJ
2731-3786,DOAJ
2398-2683,DOAJ
2054-3085,DOAJ
2055-8260,DOAJ
0005-1179,DOAJ
1618-162X,DOAJ
2769-643X,DOAJ
2751-4765,DOAJ
2769-6448,DOAJ
2770-2081,DOAJ
2751-1219,DOAJ
2751-1871,DOAJ
2751-1200,DOAJ
2831-3224,DOAJ
2769-3325,DOAJ
2770-100X,DOAJ
2769-6456,DOAJ
2751-7446,DOAJ
2770-9183,DOAJ
2097-0668,DOAJ
2731-4375,DOAJ
2095-8811,DOAJ
2095-882X,DOAJ
2378-5128,DOAJ
2196-9736,DOAJ
2193-6358,DOAJ
2157-7005,DOAJ
0120-789X,DOAJ
2456-4869,DOAJ
2194-7635,DOAJ
2512-9465,DOAJ
1749-7221,DOAJ
2194-7619,DOAJ
2199-7152,DOAJ
0048-7619,DOAJ
1698-8396,DOAJ
2455-0949,DOAJ
2509-596X,DOAJ
2581-9178,DOAJ
2625-1825,DOAJ
2213-3739,DOAJ
2475-4757,DOAJ
2367-1890,DOAJ
2542-7075,DOAJ
2377-0813,DOAJ
2509-9396,DOAJ
2699-9404,DOAJ
2628-5096,DOAJ
1869-1722,DOAJ
2374-7943,DOAJ
2470-1343,DOAJ
2694-2461,DOAJ
2694-2453,DOAJ
2694-2518,DOAJ
2694-2437,DOAJ
2694-250X,DOAJ
2694-2488,DOAJ
2694-2445,DOAJ
2691-3704,DOAJ
2694-2496,DOAJ
2694-247X,DOAJ
2832-3637,DOAJ
2771-9316,DOAJ
1076-0296,DOAJ
1834-4909,DOAJ
2042-0188,DOAJ
1753-9447,DOAJ
0963-6897,DOAJ
1074-2484,DOAJ
1010-4283,DOAJ
0002-0397,DOAJ
2150-1319,DOAJ
1177-2719,DOAJ
1460-4582,DOAJ
1759-720X,DOAJ
1461-3484,DOAJ
2041-7314,DOAJ
1024-9079,DOAJ
1756-2872,DOAJ
0036-8504,DOAJ
2036-3605,DOAJ
1868-1026,DOAJ
0144-5987,DOAJ
1558-9250,DOAJ
1176-9351,DOAJ
2042-5333,DOAJ
1759-3131,DOAJ
1756-283X,DOAJ
0046-9580,DOAJ
1759-0914,DOAJ
0963-6935,DOAJ
1555-9475,DOAJ
1176-9343,DOAJ
1557-9883,DOAJ
1744-8069,DOAJ
1687-8132,DOAJ
1559-3258,DOAJ
0394-6320,DOAJ
2151-4585,DOAJ
1879-3665,DOAJ
1863-2521,DOAJ
2156-5899,DOAJ
0253-7176,DOAJ
1533-0338,DOAJ
1534-7354,DOAJ
1729-8806,DOAJ
1569-1861,DOAJ
1745-5057,DOAJ
0020-2940,DOAJ
1753-4658,DOAJ
2041-6695,DOAJ
2158-2440,DOAJ
0956-3202,DOAJ
1758-8340,DOAJ
1533-3175,DOAJ
1474-7049,DOAJ
2040-6223,DOAJ
1748-3018,DOAJ
1177-9322,DOAJ
0300-0605,DOAJ
1479-9723,DOAJ
1753-4259,DOAJ
1179-5549,DOAJ
1756-2856,DOAJ
1721-727X,DOAJ
1756-8293,DOAJ
1073-2748,DOAJ
1847-9804,DOAJ
2280-8000,DOAJ
1940-0829,DOAJ
2332-8584,DOAJ
1866-802X,DOAJ
1849-5435,DOAJ
2053-9517,DOAJ
2192-5682,DOAJ
1179-0695,DOAJ
2053-1680,DOAJ
2325-9671,DOAJ
0145-5613,DOAJ
1847-9790,DOAJ
2042-0986,DOAJ
1747-0161,DOAJ
2045-1253,DOAJ
1022-5536,DOAJ
2333-794X,DOAJ
2324-7096,DOAJ
2473-0114,DOAJ
1178-6302,DOAJ
2054-3581,DOAJ
2050-3121,DOAJ
2210-4917,DOAJ
2331-2165,DOAJ
2050-313X,DOAJ
2055-1029,DOAJ
1455-0725,DOAJ
2045-8932,DOAJ
2043-8087,DOAJ
2333-7214,DOAJ
0301-5742,DOAJ
2055-1169,DOAJ
1179-5441,DOAJ
1179-5476,DOAJ
2056-3051,DOAJ
2040-6207,DOAJ
2340-9436,DOAJ
2058-4601,DOAJ
2635-0254,DOAJ
2374-3735,DOAJ
1179-5557,DOAJ
2382-1205,DOAJ
2381-4683,DOAJ
2471-5492,DOAJ
1179-5735,DOAJ
2515-690X,DOAJ
2333-3928,DOAJ
2055-2076,DOAJ
2048-0040,DOAJ
1178-2242,DOAJ
2059-2043,DOAJ
2514-183X,DOAJ
2054-2704,DOAJ
1178-6221,DOAJ
2010-1058,DOAJ
2096-6083,DOAJ
2632-3524,DOAJ
1179-5581,DOAJ
2634-8535,DOAJ
2164-9561,DOAJ
1179-545X,DOAJ
1179-5468,DOAJ
2515-8163,DOAJ
1179-5484,DOAJ
2515-8414,DOAJ
2632-4636,DOAJ
1178-6469,DOAJ
2378-0231,DOAJ
1179-5514,DOAJ
1178-6388,DOAJ
2096-5311,DOAJ
2096-5958,DOAJ
2515-1355,DOAJ
1178-2218,DOAJ
2397-8473,DOAJ
2212-585X,DOAJ
2633-0040,DOAJ
2631-7745,DOAJ
2059-5131,DOAJ
1179-5522,DOAJ
2396-9415,DOAJ
1178-6329,DOAJ
2631-8318,DOAJ
2399-2026,DOAJ
2049-9361,DOAJ
2631-7877,DOAJ
1609-4069,DOAJ
0256-0909,DOAJ
1179-173X,DOAJ
1179-5565,DOAJ
2055-2173,DOAJ
1178-6337,DOAJ
2470-5470,DOAJ
2377-9608,DOAJ
2059-7991,DOAJ
2325-9574,DOAJ
1179-5573,DOAJ
2515-2564,DOAJ
1178-2234,DOAJ
2333-3936,DOAJ
2152-6567,DOAJ
2059-4372,DOAJ
1179-5972,DOAJ
2633-4895,DOAJ
2329-048X,DOAJ
1179-237X,DOAJ
1178-6361,DOAJ
2398-2128,DOAJ
1179-5727,DOAJ
2516-8657,DOAJ
2632-010X,DOAJ
2473-974X,DOAJ
2059-7002,DOAJ
2329-7778,DOAJ
1672-6030,DOAJ
2473-2877,DOAJ
2378-0967,DOAJ
0273-1223,DOAJ
2754-2734,DOAJ
2754-2726,DOAJ
2691-1191,DOAJ
0891-2017,DOAJ
2158-3226,DOAJ
2166-532X,DOAJ
2468-080X,DOAJ
2770-9019,DOAJ
2770-9000,DOAJ
2160-3308,DOAJ
2469-9888,DOAJ
2469-9896,DOAJ
2691-3399,DOAJ
2643-1564,DOAJ
0909-6396,DOAJ
1464-7141,DOAJ
2040-2244,DOAJ
2043-9083,DOAJ
2616-6518,DOAJ
1998-9563,DOAJ
1134-2196,DOAJ
2709-8028,DOAJ
2709-6092,DOAJ
0736-6205,DOAJ
2056-5623,DOAJ
2631-3316,DOAJ
1177-5475,DOAJ
1177-889X,DOAJ
1178-7031,DOAJ
1178-7007,DOAJ
1176-6344,DOAJ
1178-7058,DOAJ
1178-7090,DOAJ
1178-6930,DOAJ
1176-6336,DOAJ
1178-6965,DOAJ
1176-9114,DOAJ
1179-318X,DOAJ
1177-5467,DOAJ
1179-1357,DOAJ
1178-7023,DOAJ
1178-7015,DOAJ
1178-7074,DOAJ
1176-6328,DOAJ
1176-9106,DOAJ
1176-9092,DOAJ
1177-8881,DOAJ
1179-1365,DOAJ
1179-1616,DOAJ
1177-8903,DOAJ
1179-1608,DOAJ
2324-481X,DOAJ
2230-326X,DOAJ
2253-5969,DOAJ
1179-9927,DOAJ
1179-1373,DOAJ
1179-1349,DOAJ
1179-1500,DOAJ
1179-1470,DOAJ
1179-7282,DOAJ
1178-7082,DOAJ
1179-1519,DOAJ
2253-2447,DOAJ
1179-1535,DOAJ
1178-6981,DOAJ
1179-156X,DOAJ
2230-2034,DOAJ
1179-1411,DOAJ
1178-2390,DOAJ
1179-7258,DOAJ
1179-1578,DOAJ
1178-6973,DOAJ
1178-704X,DOAJ
1179-1594,DOAJ
1179-271X,DOAJ
1179-8475,DOAJ
1179-8467,DOAJ
1178-7066,DOAJ
1179-2736,DOAJ
1179-1543,DOAJ
1179-1322,DOAJ
2230-522X,DOAJ
1179-2728,DOAJ
1179-2752,DOAJ
1179-1454,DOAJ
1178-6949,DOAJ
1179-1586,DOAJ
1179-9889,DOAJ
1179-2698,DOAJ
1179-1489,DOAJ
1179-1462,DOAJ
1179-9935,DOAJ
2253-1564,DOAJ
1179-1527,DOAJ
2230-5254,DOAJ
1178-7104,DOAJ
1179-3201,DOAJ
1179-1438,DOAJ
1179-1314,DOAJ
1178-7112,DOAJ
2253-1556,DOAJ
1179-2744,DOAJ
1178-6957,DOAJ
1588-970X,DOAJ
2062-5871,DOAJ
2062-0810,DOAJ
2630-936X,DOAJ
2064-2199,DOAJ
2559-9283,DOAJ
2732-0960,DOAJ
1024-5332,DOAJ
0953-7104,DOAJ
1476-0584,DOAJ
1547-691X,DOAJ
0891-6934,DOAJ
1064-1955,DOAJ
0167-482X,DOAJ
0301-4460,DOAJ
0951-3590,DOAJ
0190-2148,DOAJ
0144-3615,DOAJ
0954-6634,DOAJ
1368-5538,DOAJ
1064-1963,DOAJ
0785-3890,DOAJ
1541-2563,DOAJ
1025-3890,DOAJ
2169-1401,DOAJ
2331-205X,DOAJ
2057-5858,DOAJ
2516-8290,DOAJ
1753-318X,DOAJ
0909-0495,DOAJ
1753-0407,DOAJ
0896-4327,DOAJ
1752-4571,DOAJ
0730-6679,DOAJ
1759-7323,DOAJ
0363-907X,DOAJ
1095-4244,DOAJ
1752-8054,DOAJ
0908-8857,DOAJ
1366-9516,DOAJ
1552-5031,DOAJ
0947-5745,DOAJ
1082-720X,DOAJ
1347-9032,DOAJ
1355-557X,DOAJ
1526-9914,DOAJ
0891-6640,DOAJ
1524-6175,DOAJ
1042-7163,DOAJ
1075-122X,DOAJ
0887-8013,DOAJ
1462-5814,DOAJ
1049-8931,DOAJ
2150-8925,DOAJ
1467-7644,DOAJ
1353-5773,DOAJ
1083-6101,DOAJ
1742-4801,DOAJ
0893-8849,DOAJ
1368-5031,DOAJ
0004-9530,DOAJ
2041-210X,DOAJ
1350-4827,DOAJ
1546-6086,DOAJ
1530-261X,DOAJ
1582-1838,DOAJ
1618-0240,DOAJ
1757-7853,DOAJ
1322-7130,DOAJ
0800-0395,DOAJ
1752-6981,DOAJ
1525-2027,DOAJ
2051-817X,DOAJ
0280-6495,DOAJ
1740-8695,DOAJ
0906-7590,DOAJ
1942-2466,DOAJ
2198-3844,DOAJ
2048-3694,DOAJ
2162-3279,DOAJ
2196-7350,DOAJ
2052-1707,DOAJ
2051-3380,DOAJ
2048-7177,DOAJ
2575-5609,DOAJ
1545-2255,DOAJ
2053-1095,DOAJ
2521-3555,DOAJ
2196-0216,DOAJ
1751-231X,DOAJ
1477-8920,DOAJ
1606-9749,DOAJ
1366-7017,DOAJ
2617-4782,DOAJ
1836-0416,DOAJ
1514-0326,DOAJ
1938-2022,DOAJ
1177-083X,DOAJ
1976-8354,DOAJ
1071-7544,DOAJ
1616-8666,DOAJ
1009-5020,DOAJ
0803-7051,DOAJ
1406-099X,DOAJ
0270-5060,DOAJ
1385-772X,DOAJ
1751-7192,DOAJ
1559-2316,DOAJ
1933-6950,DOAJ
0954-0105,DOAJ
1229-8093,DOAJ
0891-060X,DOAJ
0883-9514,DOAJ
1473-5903,DOAJ
1819-6357,DOAJ
1351-0002,DOAJ
1478-6451,DOAJ
1949-1042,DOAJ
1310-2818,DOAJ
0906-4710,DOAJ
0703-8992,DOAJ
1553-8621,DOAJ
1947-5705,DOAJ
1947-5411,DOAJ
1744-1692,DOAJ
1559-9612,DOAJ
1939-7038,DOAJ
1654-9880,DOAJ
1381-4788,DOAJ
0968-8080,DOAJ
1388-0209,DOAJ
0281-3432,DOAJ
1946-3146,DOAJ
1548-1603,DOAJ
1753-8947,DOAJ
1547-6286,DOAJ
1346-7581,DOAJ
2000-2297,DOAJ
0954-2299,DOAJ
1387-3954,DOAJ
0005-1144,DOAJ
1475-6366,DOAJ
0886-022X,DOAJ
0954-0091,DOAJ
1942-0889,DOAJ
0256-4718,DOAJ
1654-6369,DOAJ
1553-4529,DOAJ
1087-2981,DOAJ
0280-6509,DOAJ
1943-815X,DOAJ
1994-2060,DOAJ
1547-6278,DOAJ
1745-8080,DOAJ
0265-6736,DOAJ
0300-9734,DOAJ
2150-1203,DOAJ
1745-3674,DOAJ
1745-2759,DOAJ
1947-6337,DOAJ
1463-6778,DOAJ
1742-9145,DOAJ
1010-6049,DOAJ
0985-3111,DOAJ
0894-1939,DOAJ
2151-3732,DOAJ
1544-046X,DOAJ
2000-4214,DOAJ
1538-4047,DOAJ
1594-4077,DOAJ
0971-2119,DOAJ
1343-943X,DOAJ
1468-6996,DOAJ
0967-4845,DOAJ
1751-3758,DOAJ
1239-9736,DOAJ
1748-2623,DOAJ
0165-2176,DOAJ
1744-5647,DOAJ
1758-3004,DOAJ
2279-7254,DOAJ
2164-5515,DOAJ
2150-5594,DOAJ
2164-2583,DOAJ
2000-8066,DOAJ
2331-1983,DOAJ
1548-7733,DOAJ
1729-0376,DOAJ
2002-0317,DOAJ
2161-4083,DOAJ
2001-8525,DOAJ
2164-2850,DOAJ
2000-9666,DOAJ
2169-3277,DOAJ
2326-5507,DOAJ
2376-6808,DOAJ
2312-0053,DOAJ
1128-7462,DOAJ
2222-1751,DOAJ
2329-9037,DOAJ
2372-3556,DOAJ
1598-0316,DOAJ
2380-2359,DOAJ
2187-0764,DOAJ
2331-186X,DOAJ
2158-0715,DOAJ
1687-4048,DOAJ
2233-5951,DOAJ
0267-3843,DOAJ
1607-0658,DOAJ
2078-6190,DOAJ
1110-1849,DOAJ
2168-1376,DOAJ
2166-3831,DOAJ
2001-3078,DOAJ
2331-1908,DOAJ
2000-4508,DOAJ
2074-2835,DOAJ
2314-4599,DOAJ
2386-3781,DOAJ
2693-9169,DOAJ
2694-1112,DOAJ
1882-4889,DOAJ
2766-0400,DOAJ
2767-8490,DOAJ
2766-9645,DOAJ
2055-0332,DOAJ
2333-7931,DOAJ
2475-4269,DOAJ
2000-7493,DOAJ
2641-0397,DOAJ
2333-5432,DOAJ
2474-0527,DOAJ
2473-4306,DOAJ
2377-9497,DOAJ
2165-5979,DOAJ
2474-736X,DOAJ
2166-5095,DOAJ
2641-5275,DOAJ
2474-9508,DOAJ
2381-5639,DOAJ
2572-3618,DOAJ
2572-5084,DOAJ
2375-3234,DOAJ
2469-9322,DOAJ
2639-5908,DOAJ
2162-3945,DOAJ
2169-7213,DOAJ
2054-8923,DOAJ
2475-0581,DOAJ
2689-5307,DOAJ
2332-8878,DOAJ
2578-7616,DOAJ
2639-5940,DOAJ
2165-0020,DOAJ
2578-5826,DOAJ
1608-9677,DOAJ
2475-1839,DOAJ
2224-3534,DOAJ
1949-8284,DOAJ
2055-0359,DOAJ
1940-4476,DOAJ
2638-8081,DOAJ
2328-8604,DOAJ
2377-2484,DOAJ
2471-1411,DOAJ
2578-7470,DOAJ
2576-5299,DOAJ
2476-1028,DOAJ
2574-5417,DOAJ
2575-1654,DOAJ
2331-1835,DOAJ
2578-9821,DOAJ
2169-8252,DOAJ
2330-443X,DOAJ
2574-1292,DOAJ
1947-5691,DOAJ
2002-1518,DOAJ
2096-4129,DOAJ
2374-6149,DOAJ
2688-9277,DOAJ
2001-6689,DOAJ
2572-9861,DOAJ
2475-0263,DOAJ
1110-4929,DOAJ
2769-0911,DOAJ
2041-6520,DOAJ
2046-2069,DOAJ
2633-0679,DOAJ
2634-3606,DOAJ
2516-0230,DOAJ
2633-5409,DOAJ
2754-7000,DOAJ
2753-1457,DOAJ
2635-0998,DOAJ
2635-098X,DOAJ
2753-801X,DOAJ
2753-8125,DOAJ
2753-8095,DOAJ
0006-2294,DOAJ
1382-2373,DOAJ
1566-5844,DOAJ
2214-1324,DOAJ
2772-3186,DOAJ
2352-1333,DOAJ
2588-879X,DOAJ
2212-5884,DOAJ
2364-4583,DOAJ
2666-0385,DOAJ
2667-0755,DOAJ
2364-2807,DOAJ
2452-3666,DOAJ
2211-6249,DOAJ
2772-8242,DOAJ
1750-2640,DOAJ
1759-7706,DOAJ
1755-263X,DOAJ
1438-7492,DOAJ
1341-9145,DOAJ
1015-6305,DOAJ
1757-1693,DOAJ
1364-3703,DOAJ
0960-7722,DOAJ
1942-5120,DOAJ
1065-9471,DOAJ
0160-9289,DOAJ
1755-5930,DOAJ
1755-5914,DOAJ
1474-9718,DOAJ
1607-551X,DOAJ
1445-5781,DOAJ
1369-6513,DOAJ
2157-6564,DOAJ
2045-7758,DOAJ
2047-9980,DOAJ
2050-7038,DOAJ
2050-0904,DOAJ
2050-2680,DOAJ
2056-3485,DOAJ
1831-4732,DOAJ
2050-0505,DOAJ
2045-7634,DOAJ
2328-9503,DOAJ
2324-9269,DOAJ
2055-5822,DOAJ
2199-160X,DOAJ
2050-4527,DOAJ
2055-2238,DOAJ
2051-3895,DOAJ
2189-6577,DOAJ
2211-5463,DOAJ
2313-1934,DOAJ
2578-3270,DOAJ
2054-4049,DOAJ
2056-6646,DOAJ
2769-2558,DOAJ
2699-9307,DOAJ
2398-8835,DOAJ
2688-268X,DOAJ
2397-9070,DOAJ
2692-4560,DOAJ
2643-8909,DOAJ
2378-8038,DOAJ
2698-6248,DOAJ
2688-4062,DOAJ
2510-5345,DOAJ
2637-9368,DOAJ
2380-6761,DOAJ
2574-4593,DOAJ
2766-2098,DOAJ
2690-442X,DOAJ
2474-9842,DOAJ
2574-2272,DOAJ
2578-1863,DOAJ
2573-8488,DOAJ
2577-171X,DOAJ
2567-3173,DOAJ
2693-8847,DOAJ
2577-6576,DOAJ
2769-2450,DOAJ
2572-1143,DOAJ
2768-6566,DOAJ
2699-9412,DOAJ
2052-8817,DOAJ
2057-4347,DOAJ
2578-2703,DOAJ
2617-1619,DOAJ
2473-4039,DOAJ
2698-5977,DOAJ
2639-6181,DOAJ
1478-1239,DOAJ
2692-9384,DOAJ
2475-8876,DOAJ
2567-3165,DOAJ
2573-9832,DOAJ
2688-819X,DOAJ
2576-2095,DOAJ
2692-4609,DOAJ
2688-4011,DOAJ
2637-4943,DOAJ
2379-6146,DOAJ
2572-2611,DOAJ
2470-9239,DOAJ
2056-3744,DOAJ
2575-1220,DOAJ
2643-8429,DOAJ
2641-6573,DOAJ
2574-173X,DOAJ
2475-0328,DOAJ
2475-4455,DOAJ
2639-6696,DOAJ
2767-1410,DOAJ
2045-8827,DOAJ
2768-2811,DOAJ
1751-7915,DOAJ
2054-1058,DOAJ
2055-4877,DOAJ
2689-5595,DOAJ
2690-3857,DOAJ
2767-4401,DOAJ
2688-8319,DOAJ
2688-4526,DOAJ
2688-4046,DOAJ
2688-2663,DOAJ
2575-8314,DOAJ
2576-604X,DOAJ
2692-4552,DOAJ
2768-0622,DOAJ
2627-1850,DOAJ
2768-1688,DOAJ
2637-3807,DOAJ
2378-2242,DOAJ
2767-1399,DOAJ
2523-3548,DOAJ
2475-0360,DOAJ
2056-4538,DOAJ
2577-8196,DOAJ
2398-7324,DOAJ
2699-9293,DOAJ
2328-5540,DOAJ
2049-6060,DOAJ
2688-3740,DOAJ
2688-1152,DOAJ
2767-035X,DOAJ
2688-6146,DOAJ
2640-4567,DOAJ
2471-1403,DOAJ
2577-7408,DOAJ
2689-9655,DOAJ
2052-4986,DOAJ
2694-5746,DOAJ
2692-4587,DOAJ
2050-0068,DOAJ
2575-6265,DOAJ
2573-8348,DOAJ
2578-5745,DOAJ
2642-2514,DOAJ
2770-596X,DOAJ
0867-1761,DOAJ
1758-2652,DOAJ
2115-7251,DOAJ
2105-0716,DOAJ
1751-7311,DOAJ
1319-562X,DOAJ
1567-1348,DOAJ
1807-5932,DOAJ
0969-9961,DOAJ
0939-3889,DOAJ
1043-6618,DOAJ
1728-869X,DOAJ
0212-6567,DOAJ
1470-160X,DOAJ
1413-8670,DOAJ
1110-8665,DOAJ
0366-3175,DOAJ
1319-6103,DOAJ
0965-2299,DOAJ
1873-5061,DOAJ
1989-1342,DOAJ
0975-9476,DOAJ
1697-2600,DOAJ
0531-5565,DOAJ
0032-5791,DOAJ
1871-6784,DOAJ
1053-8119,DOAJ
1939-4551,DOAJ
1350-4177,DOAJ
1878-5352,DOAJ
1574-7891,DOAJ
1388-2481,DOAJ
0014-4800,DOAJ
1524-0703,DOAJ
1878-0067,DOAJ
1756-4646,DOAJ
1347-8613,DOAJ
1672-0229,DOAJ
0160-4120,DOAJ
0169-1368,DOAJ
0888-7543,DOAJ
1876-0341,DOAJ
1665-2681,DOAJ
1880-4276,DOAJ
0011-393X,DOAJ
1438-4221,DOAJ
1684-1182,DOAJ
1476-5586,DOAJ
1876-4754,DOAJ
2090-1224,DOAJ
1319-0164,DOAJ
1201-9712,DOAJ
1477-8939,DOAJ
1449-4035,DOAJ
0142-9418,DOAJ
0960-9776,DOAJ
1930-0433,DOAJ
1877-959X,DOAJ
1385-1101,DOAJ
0147-6513,DOAJ
0038-0806,DOAJ
0010-440X,DOAJ
1439-1791,DOAJ
0022-0302,DOAJ
0168-1702,DOAJ
0020-6539,DOAJ
0928-0987,DOAJ
0264-1275,DOAJ
0171-9335,DOAJ
0023-6438,DOAJ
0016-7061,DOAJ
0753-3322,DOAJ
1018-3647,DOAJ
0362-028X,DOAJ
0378-3774,DOAJ
0361-9230,DOAJ
1566-7367,DOAJ
1936-5233,DOAJ
0001-6918,DOAJ
1878-9293,DOAJ
0890-8508,DOAJ
2352-3409,DOAJ
2352-7110,DOAJ
2211-3207,DOAJ
2095-3119,DOAJ
2352-3964,DOAJ
2211-419X,DOAJ
2211-3355,DOAJ
2050-1161,DOAJ
2211-467X,DOAJ
2352-5134,DOAJ
2214-5095,DOAJ
2213-7165,DOAJ
2468-4287,DOAJ
2215-017X,DOAJ
2212-8778,DOAJ
0973-0508,DOAJ
2352-345X,DOAJ
1319-1578,DOAJ
2215-0986,DOAJ
2213-5766,DOAJ
2095-0349,DOAJ
1674-6384,DOAJ
1110-0168,DOAJ
2352-3441,DOAJ
0972-8600,DOAJ
2351-9894,DOAJ
2213-0489,DOAJ
2211-3797,DOAJ
2214-031X,DOAJ
1110-9823,DOAJ
2451-8654,DOAJ
2213-6711,DOAJ
2352-1791,DOAJ
2212-0947,DOAJ
2214-6237,DOAJ
2352-8273,DOAJ
2352-1872,DOAJ
2468-2179,DOAJ
2213-2317,DOAJ
2405-5808,DOAJ
2090-598X,DOAJ
1674-2834,DOAJ
2238-7854,DOAJ
1026-9185,DOAJ
2214-157X,DOAJ
2468-0249,DOAJ
2055-6640,DOAJ
2352-5126,DOAJ
2352-1864,DOAJ
2352-8478,DOAJ
1658-3655,DOAJ
2090-5068,DOAJ
2213-2244,DOAJ
2451-9936,DOAJ
2212-0963,DOAJ
2211-7539,DOAJ
2214-4420,DOAJ
2468-2667,DOAJ
2210-6006,DOAJ
2212-1366,DOAJ
2352-5789,DOAJ
2214-4269,DOAJ
2237-9363,DOAJ
2212-6287,DOAJ
2214-7500,DOAJ
2213-0071,DOAJ
2213-3984,DOAJ
2090-4479,DOAJ
2214-1804,DOAJ
2212-9685,DOAJ
1319-5166,DOAJ
2095-1779,DOAJ
2214-0271,DOAJ
2052-2975,DOAJ
2376-0605,DOAJ
2352-3204,DOAJ
2213-5979,DOAJ
2468-2330,DOAJ
2444-8834,DOAJ
2451-9944,DOAJ
2215-0013,DOAJ
2352-9148,DOAJ
2352-6440,DOAJ
2542-4548,DOAJ
2405-8440,DOAJ
2468-9122,DOAJ
2405-6766,DOAJ
2214-7160,DOAJ
2372-7705,DOAJ
2405-9595,DOAJ
2214-5419,DOAJ
2405-4283,DOAJ
2467-981X,DOAJ
2542-5196,DOAJ
2214-7519,DOAJ
2214-1391,DOAJ
2352-0477,DOAJ
2468-0672,DOAJ
2352-7285,DOAJ
2213-1582,DOAJ
2352-2895,DOAJ
2352-8737,DOAJ
2589-5370,DOAJ
2405-8807,DOAJ
2405-6324,DOAJ
2352-8729,DOAJ
2468-5488,DOAJ
2214-6628,DOAJ
2214-0301,DOAJ
2215-0390,DOAJ
2352-5517,DOAJ
2405-6731,DOAJ
2452-073X,DOAJ
2215-0382,DOAJ
2215-0161,DOAJ
2214-9112,DOAJ
2214-2509,DOAJ
2451-943X,DOAJ
2352-4847,DOAJ
2352-3646,DOAJ
2405-6502,DOAJ
2352-8532,DOAJ
2405-5794,DOAJ
2352-9067,DOAJ
2352-9520,DOAJ
2352-7714,DOAJ
2405-6316,DOAJ
2444-569X,DOAJ
2405-6308,DOAJ
2226-5856,DOAJ
2212-3717,DOAJ
1575-1813,DOAJ
2451-9596,DOAJ
2214-5818,DOAJ
2214-854X,DOAJ
2352-5878,DOAJ
2468-4481,DOAJ
2772-4875,DOAJ
2666-9129,DOAJ
2666-3791,DOAJ
2666-3783,DOAJ
2666-5247,DOAJ
2772-7076,DOAJ
2666-6596,DOAJ
2666-3740,DOAJ
2666-822X,DOAJ
2772-6967,DOAJ
1569-8432,DOAJ
2589-8116,DOAJ
2666-9579,DOAJ
2666-5212,DOAJ
2666-4976,DOAJ
2772-4271,DOAJ
2666-5662,DOAJ
2666-5158,DOAJ
2589-8450,DOAJ
2590-051X,DOAJ
2666-2027,DOAJ
2666-9501,DOAJ
2589-9589,DOAJ
2666-5182,DOAJ
2666-0172,DOAJ
2772-3747,DOAJ
2667-114X,DOAJ
2666-5603,DOAJ
2667-1182,DOAJ
2667-095X,DOAJ
2666-6677,DOAJ
2772-5820,DOAJ
2666-8211,DOAJ
2590-0617,DOAJ
2666-5425,DOAJ
1326-0200,DOAJ
2666-3538,DOAJ
2590-1745,DOAJ
2667-0321,DOAJ
2667-1131,DOAJ
2666-3546,DOAJ
2590-0498,DOAJ
2590-2571,DOAJ
2772-6533,DOAJ
