cr_year,issn_l,oa_all,n,prop
2018,0022-3492,3,224,0.013392857142857142
2018,0022-3506,7,82,0.08536585365853659
2018,0022-3514,1,204,0.004901960784313725
2018,0022-3530,4,102,0.0392156862745098
2018,0022-3549,9,364,0.024725274725274724
2018,0022-3573,3,173,0.017341040462427744
2018,0022-3611,10,42,0.23809523809523808
2018,0022-3646,3,100,0.03
2018,0022-3697,3,469,0.006396588486140725
2018,0022-3727,59,1228,0.04804560260586319
2018,0022-3751,64,598,0.10702341137123746
2018,0022-3778,4,129,0.031007751937984496
2018,0022-3840,2,110,0.01818181818181818
2018,0022-3891,7,99,0.0707070707070707
2018,0022-3913,4,389,0.010282776349614395
2018,0022-3956,11,276,0.03985507246376811
2018,0022-3999,8,334,0.023952095808383235
2018,0022-4006,1,35,0.02857142857142857
2018,0022-4049,1,231,0.004329004329004329
2018,0022-4073,23,425,0.05411764705882353
2018,0022-4146,5,45,0.1111111111111111
2018,0022-4197,16,207,0.07729468599033816
2018,0022-4227,3,64,0.046875
2018,0022-4308,4,60,0.06666666666666667
2018,0022-4359,1,42,0.023809523809523808
2018,0022-4367,1,31,0.03225806451612903
2018,0022-4375,3,84,0.03571428571428571
2018,0022-4391,3,106,0.02830188679245283
2018,0022-4480,1,60,0.016666666666666666
2018,0022-4499,4,89,0.0449438202247191
2018,0022-4510,2,148,0.013513513513513514
2018,0022-4529,2,130,0.015384615384615385
2018,0022-4537,2,46,0.043478260869565216
2018,0022-4545,5,59,0.0847457627118644
2018,0022-460X,18,604,0.029801324503311258
2018,0022-4715,33,255,0.12941176470588237
2018,0022-474X,5,100,0.05
2018,0022-4790,11,369,0.02981029810298103
2018,0022-4804,8,537,0.0148975791433892
2018,0022-4928,4,244,0.01639344262295082
2018,0022-5010,6,46,0.13043478260869565
2018,0022-5045,3,43,0.06976744186046512
2018,0022-5061,1,56,0.017857142857142856
2018,0022-5096,11,227,0.048458149779735685
2018,0022-510X,11,399,0.02756892230576441
